country,region,year,Business_as_Usual_CO2_MT,Moderate_Transition_CO2_MT,Accelerated_Transition_CO2_MT
Indonesia,Asia,2027,847.012932179175,814.6654526756375,767.3250334203316
Indonesia,Asia,2028,878.602670699361,828.7554679537167,757.576523279398
Indonesia,Asia,2029,911.3705631081854,843.0891765538636,747.9518634572065
Indonesia,Asia,2030,945.3605491990851,857.6707932646398,738.4494804926609
Iran,MENA,2026,823.1419610097241,807.0919610097242,783.0169610097241
Iran,MENA,2027,844.3148759812265,811.7101975408375,764.006929880254
Iran,MENA,2028,866.0324021493692,816.3548599437073,745.4584229597581
Iran,MENA,2029,888.308548041363,821.0260994290161,727.3602353957026
Iran,MENA,2030,911.1576825127331,825.7240680726845,709.7014343661814
Iraq,MENA,2026,245.04747542700107,240.26947542700105,233.10247542700105
Iraq,MENA,2027,251.3531402810661,241.64680126398605,227.445642738366
Iraq,MENA,2028,257.82106515916325,243.03202251281164,221.9260876827058
Iraq,MENA,2029,264.4554254045764,244.4251844333042,216.54047886424618
Iraq,MENA,2030,271.26050380228145,245.82633254473834,211.28556573212217
Israel,MENA,2026,51.35841838384649,50.308418383846494,48.73341838384649
Israel,MENA,2027,50.24165978838517,48.20832305303131,45.237067950000515
Israel,MENA,2028,49.14918445163356,46.19589496639106,41.99156112125463
Israel,MENA,2029,48.08046434841599,44.267474506389135,38.97890127072312
Israel,MENA,2030,47.034982935153586,42.419554824070154,36.182382928929435
Italy,Europe,2026,293.5081626712197,287.62016267121965,278.78816267121965
Italy,Europe,2027,292.61902701982046,280.9964605129717,264.0042107526985
Italy,Europe,2028,291.73258486150644,274.5252978355226,250.0042420285675
Italy,Europe,2029,290.8488280367746,268.2031617554961,236.74668238843492
Italy,Europe,2030,289.96774841083976,262.0266202888968,224.19216236949245
Japan,Asia,2026,915.0129159027447,896.3829159027447,868.4379159027446
Japan,Asia,2027,898.8176449477651,862.5897283116553,809.6451033574906
Japan,Asia,2028,882.9090221883977,830.070526990615,754.8325348155034
Japan,Asia,2029,867.281974094951,798.7772832944448,703.7307497485365
Japan,Asia,2030,851.9315169366718,768.663779233867,656.0885299713311
Kazakhstan,Eurasia,2026,285.24060819425097,279.540608194251,270.99060819425097
Kazakhstan,Eurasia,2027,285.48141951939016,274.1857951916201,257.66985869996506
Kazakhstan,Eurasia,2028,285.72243414690865,268.9335577055783,245.003900780457
Kazakhstan,Eurasia,2029,285.9636522484423,263.7819308240739,232.96054765775426
Kazakhstan,Eurasia,2030,286.2050739957718,258.7289872744402,221.50919471944076
Kenya,Africa,2026,28.401780897424167,27.855780897424168,27.03678089742417
Kenya,Africa,2027,29.548027770889686,28.422876534992717,26.776099681147265
Kenya,Africa,2028,30.74053519046936,29.001517261292886,26.517931881566582
Kenya,Africa,2029,31.98117015198784,29.591938114411708,26.262253265008596
Kenya,Africa,2030,33.27187500000001,30.194378917406144,26.009039831454206
Kuwait,MENA,2026,100.34590938921409,98.34790938921408,95.35090938921408
Kuwait,MENA,2027,100.79380912060422,96.81993274503566,91.00896818168282
Kuwait,MENA,2028,101.2437080781771,95.3156954222079,86.86474353050555
Kuwait,MENA,2029,101.69561518559358,93.83482859612842,82.90923212707261
Kuwait,MENA,2030,102.14953940634592,92.37696917241713,79.1338406414196
Malaysia,Asia,2026,294.9983232897117,289.2003232897117,280.5033232897117
Malaysia,Asia,2027,300.18630818813824,288.50233525654977,271.411225859167
Malaysia,Asia,2028,305.46553152821474,287.806031824874,262.6138352246668
Malaysia,Asia,2029,310.83759787383207,287.11140892888113,254.10159890436628
Malaysia,Asia,2030,316.3041400075271,286.4184625125804,245.86527404589208
Mexico,North America,2026,484.1069411294578,474.5669411294578,460.2569411294578
Mexico,North America,2027,491.3197703348435,472.1462926896651,444.10157622189763
Mexico,North America,2028,498.64006526882343,469.73799137808817,428.5132767770678
Mexico,North America,2029,506.0694270899021,467.34197421508367,413.47213837059525
Mexico,North America,2030,513.6094808126409,464.958178542252,398.95895523837754
Morocco,Africa,2026,84.51335252545911,82.86535252545912,80.39335252545911
Morocco,Africa,2027,86.68090722199668,83.33333312097831,78.43557196945076
Morocco,Africa,2028,88.90405423882547,83.80395662853621,76.52546829946691
Morocco,Africa,2029,91.18421937898538,84.27723797393132,74.66188046328749
Morocco,Africa,2030,93.52286501377417,84.75319216725518,72.84367568323736
Netherlands,Europe,2026,127.32658138455766,124.72458138455765,120.82158138455765
Netherlands,Europe,2027,124.61228537339265,119.57126211801034,112.20487723493687
Netherlands,Europe,2028,121.95585161499618,114.63086559025407,104.20269566937144
Netherlands,Europe,2029,119.35604662551765,109.8945943466098,96.77121041742701
Netherlands,Europe,2030,116.81166321601101,105.35401442203445,89.86972079270801
Nigeria,Africa,2026,151.9717018247288,149.0077018247288,144.5617018247288
Nigeria,Africa,2027,155.83939376183727,149.8198056888481,141.01272357936438
Nigeria,Africa,2028,159.80551876734438,150.6363355838238,137.55087246675424
Nigeria,Africa,2029,163.8725819706948,151.45731563187724,134.17400952274107
Nigeria,Africa,2030,168.0431522570773,152.28277008669772,130.88004829456693
Norway,Europe,2026,41.498478758157034,40.65847875815703,39.39847875815703
Norway,Europe,2027,41.00294617240978,39.359807022083494,36.95809829659407
Norway,Europe,2028,40.513330732323894,38.1026161364891,34.6688773971486
Norway,Europe,2029,40.02956178136985,36.88558116227746,32.52145308811213
Norway,Europe,2030,39.55156950672646,35.70741948020798,30.50704234943777
Pakistan,Asia,2026,304.23145574888184,298.3174557488818,289.4464557488818
Pakistan,Asia,2027,313.0090587321063,300.958080502151,283.3251631572181
Pakistan,Asia,2028,322.03991072254297,303.6220793455152,277.3333253308436
Pakistan,Asia,2029,331.3313183914751,306.3096591800448,271.4682045250736
Pakistan,Asia,2030,340.89079922027304,309.0210287382417,265.7271208937948
Philippines,Asia,2026,192.74009231486042,189.0360923148604,183.4800923148604
Philippines,Asia,2027,200.58716622862266,192.95164253602826,181.7761569971366
Philippines,Asia,2028,208.75371995724075,196.9482964943012,180.08804571530877
Philippines,Asia,2029,217.25276055955237,201.02773411096774,178.41561151537613
Philippines,Asia,2030,226.0978246539222,205.19167010393147,176.75870880806417
Poland,Europe,2026,297.820064387763,291.86206438776304,282.92506438776303
Poland,Europe,2027,297.7401502246771,285.9465076491666,268.7028937859008
Poland,Europe,2028,297.6602575049869,280.1508493687715,255.19564795419348
Poland,Europe,2029,297.58038622293833,274.47265940501813,242.36738881811715
Poland,Europe,2030,297.50053637277904,268.9095568712587,230.18398485015035
Qatar,MENA,2026,118.65456664821062,116.32456664821062,112.82956664821062
Qatar,MENA,2027,120.84898014141335,116.14939747548493,109.27477347659229
Qatar,MENA,2028,123.08397741251171,115.97449208400475,105.83197714116127
Qatar,MENA,2029,125.36030902334524,115.79985007655095,102.49764908463997
Qatar,MENA,2030,127.67873941674506,115.62547105650256,99.2683719200025
Russia,Eurasia,2026,1868.2879294282598,1831.5899294282597,1776.5429294282596
Russia,Eurasia,2027,1902.2833872403585,1828.285830063228,1720.0418442975324
Russia,Eurasia,2028,1936.8974280522452,1824.9876911331378,1665.3377169369035
Russia,Eurasia,2029,1972.1413076301983,1821.6955018856538,1612.3733969886403
Russia,Eurasia,2030,2008.0264865509641,1818.4092515878372,1561.0935517022142
Saudi Arabia,MENA,2026,664.8380311681872,651.7260311681871,632.0580311681871
Saudi Arabia,MENA,2027,674.2062350329337,647.8749537862062,609.361431916115
Saudi Arabia,MENA,2028,683.7064458520617,644.0466325874875,587.479845830883
Saudi Arabia,MENA,2029,693.3405237298406,640.2409331047572,566.384006569338
Saudi Arabia,MENA,2030,703.110354981188,636.4577216653145,546.0456987147122
South Africa,Africa,2026,400.97953543827435,392.85753543827434,380.6745354382743
South Africa,Africa,2027,395.9236341794984,380.0468927619674,356.84093063567093
South Africa,Africa,2028,390.9314821529882,367.65399074474425,334.49952104185047
South Africa,Africa,2029,386.00227555257635,355.66520733323404,313.55688199195197
South Africa,Africa,2030,381.13522070718744,344.06736467391573,293.92543803437604
South Korea,Asia,2026,587.326537463819,575.5345374638191,557.846537463819
South Korea,Asia,2027,585.0618412639736,561.8046197654209,527.8031875175917
South Korea,Asia,2028,582.8058775979921,548.4022421671102,499.37785043937464
South Korea,Asia,2029,580.5586127937434,535.3195908917386,472.4833866243725
South Korea,Asia,2030,578.3200133089337,522.5490385671601,447.0373494531633
Spain,Europe,2026,220.03554829349562,215.61354829349563,208.98054829349562
Spain,Europe,2027,218.97622122487223,210.26323929313241,197.52541639552265
Spain,Europe,2028,217.92199412235442,205.04569470681426,186.69819005082476
Spain,Europe,2029,216.87284243294522,199.95762007255115,176.46445102770062
Spain,Europe,2030,215.8287417218543,194.99580267826983,166.7916677072799
Sweden,Europe,2026,26.771100222122307,26.213100222122307,25.376100222122304
Sweden,Europe,2027,25.687878390785556,24.628194381900666,23.080518368573323
Sweden,Europe,2028,24.648486268581006,23.13911568540042,20.992600261629086
Sweden,Europe,2029,23.651150402142925,21.740070197587222,19.093560149177442
Sweden,Europe,2030,22.69416909620991,20.42561429839886,17.36631168253216
Thailand,Asia,2026,324.52358553984413,318.0455855398441,308.3285855398441
Thailand,Asia,2027,325.14837163209796,312.2969882105042,293.50576307811355
Thailand,Asia,2028,325.7743605881142,306.6522953928361,279.3955442348483
Thailand,Asia,2029,326.40155472369526,301.10962903782587,265.963670762784
Thailand,Asia,2030,327.0299563591023,295.6671450417431,253.1775313716393
Turkey,MENA,2026,510.1130991785128,500.13109917851284,485.1580991785128
Turkey,MENA,2027,521.3692124894956,501.1643285223551,471.60565257164427
Turkey,MENA,2028,532.8737022626271,502.19969243227155,458.43178113304157
Turkey,MENA,2029,544.6320491523078,503.23719531809866,445.6259097125355
Turkey,MENA,2030,556.6498547486032,504.27684159878305,433.1777585670793
UAE,MENA,2026,234.86749123610093,230.18549123610094,223.16249123610092
UAE,MENA,2027,235.63749867381443,226.33643902437035,212.7359995502043
UAE,MENA,2028,236.41003056244708,222.5517488315015,202.7966494456456
UAE,MENA,2029,237.18509517835068,218.83034442645248,193.32168092535036
UAE,MENA,2030,237.96270082501087,215.17116757440465,184.28939737399318
Ukraine,Europe,2026,139.246932207838,136.320932207838,131.931932207838
Ukraine,Europe,2027,132.5338901523871,127.02253286407357,118.97494693160328
Ukraine,Europe,2028,126.14448132119271,118.35837383069888,107.29046228989341
Ukraine,Europe,2029,120.06310347863985,110.28519381547949,96.75350647558315
Ukraine,Europe,2030,114.27490656700478,102.76268236259914,87.25138111556564
United Kingdom,Europe,2026,270.0814189728113,264.5154189728113,256.1664189728113
United Kingdom,Europe,2027,262.10554392514274,251.4136071662303,235.7931520278616
United Kingdom,Europe,2028,254.3652074162525,238.9607460835113,217.04019896977712
United Kingdom,Europe,2029,246.85345366976262,227.12469230447562,199.7786940109028
United Kingdom,Europe,2030,239.56353232291994,215.87489451666983,183.890020236572
United States,North America,2026,4809.725488730541,4713.85748873054,4570.055488730541
United States,North America,2027,4826.106579243176,4635.6349196939545,4357.117530370122
United States,North America,2028,4842.543460907929,4558.710389539815,4154.101240186931
United States,North America,2029,4859.036323739783,4483.062358385692,3960.544326252479
United States,North America,2030,4875.58535840088,4408.6696437857045,3776.006036748601
Venezuela,LatAm,2026,124.50415227035657,121.99415227035657,118.22915227035656
Venezuela,LatAm,2027,123.51620663394532,118.58624054313104,111.37954140690964
Venezuela,LatAm,2028,122.53610038732711,115.27352897201483,104.92676303426298
Venezuela,LatAm,2029,121.56377132461733,112.05335813667996,98.84782664552588
Venezuela,LatAm,2030,120.59915773353754,108.92314290781621,93.12107368978238
Vietnam,Asia,2026,498.5972705378417,489.2112705378417,475.1322705378417
Vietnam,Asia,2027,529.7234992281818,509.9673284066681,481.0370221743976
Vietnam,Asia,2028,562.7928635306328,531.6040159015872,487.0151556754392
Vietnam,Asia,2029,597.9266687290636,554.1586960201033,493.06758300109067
Vietnam,Asia,2030,635.2537929045287,577.670316981863,499.1952274449477
